id,kemendagri_provinsi_kode,kemendagri_kota_kode,kemendagri_provinsi_nama,kemendagri_kota_nama,bps_provinsi_kode,bps_kota_kode,bps_provinsi_nama,bps_kota_nama,latitude,longitude,kode_pos,status_adm
1,32,32.01,JAWA BARAT,KAB. BOGOR,32,3201,JAWA BARAT,KABUPATEN BOGOR,-6.479679,106.824965,16127.0,
2,32,32.02,JAWA BARAT,KAB. SUKABUMI,32,3202,JAWA BARAT,KABUPATEN SUKABUMI,-6.915727,106.932576,17657.0,
3,32,32.03,JAWA BARAT,KAB. CIANJUR,32,3203,JAWA BARAT,KABUPATEN CIANJUR,-6.822558,107.139542,40184.0,
4,32,32.04,JAWA BARAT,KAB. BANDUNG,32,3204,JAWA BARAT,KABUPATEN BANDUNG,-7.012851,107.528627,40113.0,
5,32,32.05,JAWA BARAT,KAB. GARUT,32,3205,JAWA BARAT,KABUPATEN GARUT,-7.202988,107.885592,44131.0,
6,32,32.06,JAWA BARAT,KAB. TASIKMALAYA,32,3206,JAWA BARAT,KABUPATEN TASIKMALAYA,-7.361212,108.112488,17424.0,
7,32,32.07,JAWA BARAT,KAB. CIAMIS,32,3207,JAWA BARAT,KABUPATEN CIAMIS,-7.325788,108.3514,40113.0,
8,32,32.08,JAWA BARAT,KAB. KUNINGAN,32,3208,JAWA BARAT,KABUPATEN KUNINGAN,-6.976233,108.482982,40291.0,
9,32,32.09,JAWA BARAT,KAB. CIREBON,32,3209,JAWA BARAT,KABUPATEN CIREBON,-6.764507,108.478858,45112.0,
10,32,32.1,JAWA BARAT,KAB. MAJALENGKA,32,3210,JAWA BARAT,KABUPATEN MAJALENGKA,-6.836531,108.227876,45414.0,
11,32,32.11,JAWA BARAT,KAB. SUMEDANG,32,3211,JAWA BARAT,KABUPATEN SUMEDANG,-6.861126,107.920102,45377.0,
12,32,32.12,JAWA BARAT,KAB. INDRAMAYU,32,3212,JAWA BARAT,KABUPATEN INDRAMAYU,-6.327234,108.322903,45216.0,
13,32,32.13,JAWA BARAT,KAB. SUBANG,32,3213,JAWA BARAT,KABUPATEN SUBANG,-6.571549,107.762495,41212.0,
14,32,32.14,JAWA BARAT,KAB. PURWAKARTA,32,3214,JAWA BARAT,KABUPATEN PURWAKARTA,-6.551701,107.446541,41117.0,
15,32,32.15,JAWA BARAT,KAB. KARAWANG,32,3215,JAWA BARAT,KABUPATEN KARAWANG,-6.301721,107.30529,41312.0,
16,32,32.16,JAWA BARAT,KAB. BEKASI,32,3216,JAWA BARAT,KABUPATEN BEKASI,-6.364614,107.172509,17141.0,
17,32,32.17,JAWA BARAT,KAB. BANDUNG BARAT,32,3217,JAWA BARAT,KABUPATEN BANDUNG BARAT,-6.840651,107.512302,40292.0,
18,32,32.18,JAWA BARAT,KAB. PANGANDARAN,32,3218,JAWA BARAT,KABUPATEN PANGANDARAN,-7.701397,108.495155,17174.0,
19,32,32.71,JAWA BARAT,KOTA BOGOR,32,3271,JAWA BARAT,KOTA BOGOR,-6.594946,106.794913,16127.0,
20,32,32.72,JAWA BARAT,KOTA SUKABUMI,32,3272,JAWA BARAT,KOTA SUKABUMI,-6.918366,106.931496,43341.0,
21,32,32.73,JAWA BARAT,KOTA BANDUNG,32,3273,JAWA BARAT,KOTA BANDUNG,-6.910786,107.609757,40113.0,
22,32,32.74,JAWA BARAT,KOTA CIREBON,32,3274,JAWA BARAT,KOTA CIREBON,-6.707076,108.557818,45112.0,
23,32,32.75,JAWA BARAT,KOTA BEKASI,32,3275,JAWA BARAT,KOTA BEKASI,-6.236221,106.994293,17141.0,
24,32,32.76,JAWA BARAT,KOTA DEPOK,32,3276,JAWA BARAT,KOTA DEPOK,-6.394473,106.822692,16424.0,
25,32,32.77,JAWA BARAT,KOTA CIMAHI,32,3277,JAWA BARAT,KOTA CIMAHI,-6.87121,107.555486,40523.0,
26,32,32.78,JAWA BARAT,KOTA TASIKMALAYA,32,3278,JAWA BARAT,KOTA TASIKMALAYA,-7.316436,108.1971,46124.0,
27,32,32.79,JAWA BARAT,KOTA BANJAR,32,3279,JAWA BARAT,KOTA BANJAR,-7.362487,108.55887,46311.0,
28,32,0.0,JAWA BARAT,KOTA/KAB BELUM TERIDENTIFIKASI,32,0,JAWA BARAT,KOTA/KAB BELUM TERIDENTIFIKASI,,,,
